GTNum,GTStn,CastType,Pump,StationType,CastNumber,Eventnumber,Latitudedegrees_north,Longitudedegrees_east,Bottomdepthm,DateatMidcastGMTyyyymmdd,TimeGMTatmidcasthhmm,TargetGTDepthm,CorrectedMeanDepthm,stddevDepthm,GP15featuredescription,VolumeQMAL,VolumeSuporL,VolumeFinalL,PumpError,overallpumpnotes,Qpprocessingnotes,Qprocessingnotes,Spprocessingnotes,Sprocessingnotes,Sr_SPT_pM,Y_SPT_pM,Mo_SPT_pM,Rh103LR_pM,Ag_SPT_pM,Cd_SPT_pM,In115LR_pM,Ba_SPT_pM,La_SPT_pM,Ce_SPT_pM,Pr_SPT_pM,Nd143_SPT_pM,Nd146_SPT_pM,Sm147_SPT_pM,Sm149_SPT_pM,Eu151_SPT_pM,Eu153_SPT_pM,Gd157_SPT_pM,Tb_SPT_pM,Gd160_SPT_pM,Dy_SPT_pM,Dy_SPT_pM1,Ho_SPT_pM,Er166_SPT_pM,Er167_SPT_pM,Tm_SPT_pM,Yb172_SPT_pM,Yb174_SPT_pM,Lu_SPT_pM,Pb_SPT_pM,Th_SPT_pM,U_SPT_pM,Al_SPT_pM,P_SPT_pM,Sc_SPT_pM,Ti_SPT_pM,V_SPT_pM,Cr_SPT_pM,Mn_SPT_pM,Fe_SPT_pM,Co_SPT_pM,Ni_SPT_pM,Cu_SPT_pM,Zn_SPT_pM,POC_SPT_uM,PN_SPT_uM,POC_LPT_uM,PN_LPT_uM,PIC_SPT_nM,PIC_LPT_nM,bSi_SPT_nM,bSi_LPT_nM,POC_13_12_SPT_permill,N_15_14_SPT_permil,POC_13_12_LPT_permil,N_15_14_LPT_permil,Sr_LPT_pM,Y_LPT_pM,Mo_LPT_pM,Rh103LR_pM1,Ag_LPT_pM,Cd_LPT_pM,In115LR_pM1,Ba_LPT_pM,La_LPT_pM,Ce_LPT_pM,Pr_LPT_pM,Nd143_LPT_pM,Nd146_LPT_pM,Sm147_LPT_pM,Sm149_LPT_pM,Eu151_LPT_pM,Eu153_LPT_pM,Gd157_LPT_pM,Tb_LPT_pM,Gd160_LPT_pM,Dy_LPT_pM,Dy_LPT_pM1,Ho_LPT_pM,Er166_LPT_pM,Er167_LPT_pM,Tm_LPT_pM,Yb172_LPT_pM,Yb174_LPT_pM,Lu_LPT_pM,Pb_LPT_pM,Th_LPT_pM,U_LPT_pM,Al_LPT_pM,P_LPT_pM,Sc_LPT_pM,Ti_LPT_pM,V_LPT_pM,Cr_LPT_pM,Mn_LPT_pM,Fe56_LPT_pM,Fe57_LPT_pM,Co_LPT_pM,Ni_LPT_pM,Cu_LPT_pM,Zn_LPT_pM,Al_SPT_pM_noneg,Al_LPT_pM_noneg,POM_SPT_ugL,POM_LPT_ugL,CaCO3_SPT_ugL,CaCO3_LPT_ugL,opal_SPT_ugL,opal_LPT_ugL,litho_SPT_ugL,litho_LPT_ugL,FeOH3_SPT_ugL,FeOH3_LPT_ugL,MnO2_SPT_ugL,MnO2_LPT_ugL,SPM_SPT_ugL,SPM_LPT_ugL,fPOM_SPT,fCaCO3_SPT,fopal_SPT,flitho_SPT,fFeOH3_SPT,fMnO2_SPT,fPOM_LPT,fCaCO3_LPT,fopal_LPT,flitho_LPT,fFeOH3_LPT,fMnO2_LPT,CP_SPT_molmol,CP_LPT_molmol,NP_SPT_molmol,NP_LPT_molmol,CN_SPT_molmol,CN_LPT_molmol,CdP_SPT_mmolmol,CdP_LPT_mmolmol,ZnP_SPT_mmolmol,ZnP_LPT_mmolmol,Cruise,Station,Depth,Latitude,Longitude,BotDepth,slitersBL,Sr86_SPL_pM,Y89_SPL_pM,Mo95_SPL_pM,Rh103_SPL_pM,Ag109_SPL_pM,Cd111_SPL_pM,In115_SPL_pM,Ba137_SPL_pM,La139_SPL_pM,Ce140_SPL_pM,Pr141_SPL_pM,Nd143_SPL_pM,Nd146_SPL_pM,Sm147_SPL_pM,Sm149_SPL_pM,Eu151_SPL_pM,Eu153_SPL_pM,Gd157_SPL_pM,Tb159_SPL_pM,Gd160_SPL_pM,Dy161_SPL_pM,Dy163_SPL_pM,Ho165_SPL_pM,Er166_SPL_pM,Er167_SPL_pM,Tm169_SPL_pM,Yb172_SPL_pM,Yb174_SPL_pM,Lu175_SPL_pM,Pb208_SPL_pM,Th232_SPL_pM,U238_SPL_pM,Al27_SPL_pM,P31_SPL_pM,Sc45_SPL_pM,Ti47_SPL_pM,V51_SPL_pM,Cr52_SPL_pM,Mn55_SPL_pM,Fe56_SPL_pM,Fe57_SPL_pM,Co59_SPL_pM,Ni60_SPL_pM,Cu63_SPL_pM,Zn66_SPL_pM,In115_SPL_pM_1
12361,5,S,8,1,4,6521,53.67708333,-153.7968333,4616,9/24/18 15:40,9/24/18 15:40,25,28,0.936739102,ML,308.3,171.5,419,min flow reached,,,,,,341.7897352,0.01930444,0.623969627,8956.499615,0.04113898,3.576355484,0.029476016,3.652055363,0.009423838,0.01261223,0.001670562,0.035703564,0.010697613,0.002428767,0.001479277,0.003542395,0.005162781,0.020492208,0.001228705,0.002798172,0.0020052,0.001610035,0.00092077,0.001958196,0.002871512,0.000303075,0.001149379,0.001210791,0.000454488,0.090799263,0.001511789,0.064970234,70.70353863,8590.743101,0.011311421,6.983252184,1.429457846,19.68540699,2.507820759,34.02645741,0.084122701,4.346773906,3.823046579,30.58550778,0.045697383,0.021156442,0.003299125,0.000442869,1.773453375,0.385516525,5.25887474,3.198205787,0,0,0,0,15.05225361,0.004373869,0.063112492,1360.370868,0.00842505,0.005953415,0.000796115,0.406711586,0.002674242,0.005364191,0.000300636,0.003061934,0.003271488,0.00038188,0.000371069,0.001553626,0.002115756,0.003593604,6.22E-05,0.000432079,0.000318419,0.000207611,0.000123088,0.000178045,0.00024805,7.28E-05,0.000152165,0.000181076,9.17E-05,0.008177165,0.000422349,0.002825576,28.83298767,23.70411038,0.007652076,1.88072201,0.09396922,3.408405031,0.338749433,6.996066354,6.921973175,0.029290261,2.835878354,0.150019032,7.032288019,70.70353863,28.83298767,1.030932959,0.074428268,0.177487214,0.038582494,0.353396383,0.214919429,0.022699115,0.009256726,0.003650954,0.055966116,0.00021799,0.000916003,1.104419353,0.237565294,0.011375422,0.001825646,0.002885207,0.000184861,2.97E-05,1.82E-06,0.011210996,0.005402296,0.015585027,0.000836401,NaN,NaN,17.40574172,1.452833076,2.593194797,0.184656176,0.221078756,0.121148196,0.150111748,0.003471757,0.722730132,2.353784243,15,5,28,53.68,-153.8,4616,171.5,791.2401904,1.229911367,-0.737371043,-449.9315617,0.804445861,29.33510756,0.0381,6.166344426,0.511735039,0.107370562,0.039782362,0.160416592,0.159726282,0.029964975,0.030215661,0.00777597,0.007289023,0.047187976,0.007902949,0.050247108,0.060864099,0.059603117,0.016538798,0.054985241,0.054642434,0.008045537,0.045542421,0.045722081,0.007244056,0.939016636,0.00046364,0.097213062,111.2729731,33832.22203,0.010450522,0.097420622,15.21780825,5.385613625,48.95872481,17.41811475,17.19418488,2.510879377,34.06501038,18.4902697,66.26802122,0.0381
12362,5,S,7,1,4,6521,53.67708333,-153.7968333,4616,9/24/18 15:40,9/24/18 15:40,40,43,0.936739102,base of ML,455.3,247.3,722.5,sudden pressure release,,,"QMA samples well colored, olive colored. Bottom filter has some color; rest proteins- small piece missed (fell on floor); forgot to take photo of QMA",,,237.2840956,0.017903701,0.474487611,6306.769705,0.025477564,2.197002381,0.020441373,3.156016249,0.010562145,0.008907888,0.00216828,0.069723759,0.020528249,0.004902308,0.001686571,0.002807831,0.004030619,0.02330822,0.002121988,0.00261567,0.002259317,0.002108353,0.001525926,0.003080231,0.0046002,0.000423373,0.001431582,0.001267884,0.00057734,0.064130884,0.001136427,0.044991322,49.03896554,5081.468335,0.008000737,4.925306244,3.004389273,13.85347839,1.752409618,23.67098476,0.055006391,3.543469789,2.782514161,22.69902042,0.030943341,0.014325788,0.002287909,0.000307125,1.200869044,0.2610471,8.157182214,2.859596533,0,0,0,0,10.19242212,0.002961704,0.042735738,921.156026,0.005704904,0.004031272,0.000539078,0.275399038,0.001810826,0.003632287,0.000203571,0.002073345,0.002215242,0.000258585,0.000251264,0.001052016,0.001432654,0.002433358,4.21E-05,0.000292577,0.000215613,0.000140581,8.33E-05,0.00012056,0.000167964,4.93E-05,0.000103036,0.000122613,6.21E-05,0.005537053,0.000285987,0.001913299,19.52385262,16.0509054,0.005181496,1.273504493,0.063629937,2.307953593,0.22937942,4.737288067,4.687116912,0.019833489,1.920275196,0.10158328,4.761815059,49.03896554,19.52385262,0.698081773,0.051615237,0.120182974,0.026125594,0.548162645,0.192164887,0.015743782,0.006268062,0.002620832,0.000556095,0.000152693,2.03E-05,0.895823171,0.200782523,0.011269299,0.00290387,0.006561384,0.00018776,3.13E-05,1.93E-06,0.009971745,0.006783504,0.017041488,NaN,4.88E-05,1.83E-06,16.75637603,3.604290746,2.770616444,0.467808933,0.216541922,0.102054172,0.155920585,0.006748916,0.92511578,4.096592556,15,5,43,53.68,-153.8,4616,247.3,869.7565854,1.199168311,0.168339358,-281.1704139,0.463662747,20.32331618,0.0267,29.18766351,0.668923961,0.160556565,0.069916883,0.280775366,0.269385373,0.044843523,0.04548021,0.012040614,0.011328862,0.059082078,0.008863998,0.061753737,0.061126821,0.057723229,0.016112349,0.044757577,0.044705287,0.005475947,0.029858533,0.029813777,0.00454331,0.606579227,0.000173853,0.033502774,32.99660442,23212.76205,0.012714697,0.195564525,16.71463358,16.46966369,47.6104813,17.74429509,15.99337761,1.829728023,25.30716341,10.66347342,61.27262895,0.0267
12363,5,S,6,1,4,6521,53.67708333,-153.7968333,4616,9/24/18 15:40,9/24/18 15:40,70,73,0.936739102,0,960.3,453.3,1439.8,,,"1/8 dropped on floor, so use 1/8 upsampled for proteins","fill half of 5 ml vial, squirt RNA later, fill 2nd half vial, squirt RNA later. Dont include nonactive rim",,,129.3797033,0.009615935,0.23214245,3333.928233,0.01558399,1.544910738,0.011151848,4.631527876,0.003719782,0.004805837,0.000683702,0.015042183,0.004979056,0.001268176,0.000612473,0.001917468,0.003101059,0.008603256,0.000629048,0.001113145,0.000848135,0.000715512,0.00044083,0.000918377,0.001439877,0.000144637,0.000542141,0.000524371,0.000231638,0.048923022,0.000694932,0.024520385,26.77362749,1605.961273,0.004754333,2.642490194,0.772055624,7.463389684,1.142642742,12.91428132,0.026452371,1.428624548,1.527909209,15.72474255,0.014670939,0.006792181,0.00124818,0.000167554,0.569359237,0.123768348,5.511776867,2.430644564,0,0,0,0,4.832458387,0.001404211,0.020261982,436.7409546,0.002704824,0.001911317,0.000255589,0.130572927,0.000858554,0.001722149,9.65E-05,0.00098302,0.001050296,0.000122601,0.00011913,0.000498785,0.000679254,0.00115371,2.00E-05,0.000138717,0.000102227,6.67E-05,3.95E-05,5.72E-05,7.96E-05,2.34E-05,4.89E-05,5.81E-05,2.94E-05,0.002625242,0.000135593,0.000907138,9.256701133,7.610098125,0.002456665,0.60379735,0.030168396,1.09425312,0.108753983,2.246055667,2.222268385,0.009403507,0.910446003,0.048162936,2.25768447,26.77362749,9.256701133,0.330976394,0.028158941,0.056981472,0.012386736,0.370391405,0.163339315,0.008595576,0.00297183,0.001650168,0.000897482,0.000100391,1.70E-05,0.500058669,0.166239966,0.020501753,0.003441118,0.015347542,0.000351472,6.75E-05,9.40E-06,0.018491333,0.009425635,0.038638203,0.00067498,0.00020358,7.35E-06,16.47078214,1.868277465,2.85803401,0.233502612,0.313021864,0.223185444,0.347670757,0.004420081,2.131418275,2.793429457,15,5,73,53.68,-153.8,4616,453.3,389.1541208,0.4070945,-0.266843034,-43.66752288,0.270076901,12.91326219,0.0144,56.50302949,0.204037613,0.075255842,0.019463656,0.082252015,0.081516348,0.015732745,0.016543759,0.006698491,0.008182079,0.020790112,0.003317615,0.022174651,0.021805411,0.021158007,0.005869514,0.016840412,0.016675551,0.002337778,0.014286378,0.013416517,0.002124517,0.579330598,0.000301258,-0.011876464,26.64221724,6070.774022,0.013970912,0.067007446,6.354550212,-2.181918492,97.45479392,47.26608892,43.69370552,0.749197137,9.59817133,7.220500587,44.56394467,0.0144
12364,5,S,5,1,4,6521,53.67708333,-153.7968333,4616,9/24/18 15:40,9/24/18 15:40,90,92.7,0.936739102,top of oxycline and halocline,1101.1,451.1,1562.1,,,,QMA: head still had a lot of water just under prefilters; some water leaked out the sides active area not as well defined,,,129.9812609,0.007143798,0.23284491,3347.711986,0.012070045,1.302029943,0.011206258,4.34252448,0.003656634,0.004841999,0.000662645,0.014089605,0.00460224,0.001171054,0.000592778,0.001872025,0.003000199,0.008141785,0.000484508,0.001082296,0.000759734,0.000604902,0.000306187,0.000621073,0.000949599,9.64E-05,0.000393699,0.000441082,0.000161092,0.054141147,0.000615645,0.024635185,26.9155395,1018.657228,0.004587598,2.655118119,0.668176509,7.496109487,1.248389225,12.99153361,0.026192319,1.210865832,1.465808142,12.66289244,0.012794935,0.00592365,0.001254267,0.000168371,0.49655406,0.107941826,4.289816241,1.672217873,0,0,0,0,4.21452165,0.001224651,0.017671039,380.8939594,0.002358953,0.001666913,0.000222907,0.113876289,0.000748768,0.001501935,8.42E-05,0.000857319,0.000915993,0.000106924,0.000103897,0.000435004,0.000592396,0.001006183,1.74E-05,0.000120979,8.92E-05,5.81E-05,3.45E-05,4.99E-05,6.95E-05,2.04E-05,4.26E-05,5.07E-05,2.57E-05,0.002289547,0.000118255,0.000791141,8.073027062,6.636978684,0.002142526,0.526588498,0.026310699,0.954328645,0.09484738,1.958847749,1.938102198,0.00820106,0.794025335,0.042004239,1.968989553,26.9155395,8.073027062,0.288653738,0.028296271,0.04969513,0.010802818,0.288275651,0.112373041,0.008641136,0.002591816,0.001771208,0.000524687,0.000109966,1.14E-05,0.411061135,0.116413372,0.029298538,0.004987291,0.021082823,0.000615448,0.00012617,2.76E-05,0.016177441,0.010135737,0.031634572,0.00070773,NaN,5.84E-06,14.30366967,5.25982872,2.539051117,0.612174844,0.527242355,0.29384552,0.463900034,0.008676242,2.597913403,5.619203012,15,5,93,53.68,-153.8,4616,451.1,220.2686954,0.296490614,-0.30088446,-43.56940598,0.270049045,10.8903398,0.0143,44.73497168,0.150407502,0.095848312,0.01566104,0.066323007,0.064105698,0.013330466,0.013343972,0.0052678,0.006431358,0.016387138,0.002387067,0.016771601,0.016202024,0.015954876,0.004270878,0.012438171,0.012573969,0.001737474,0.010983873,0.010914159,0.0017641,0.767638092,0.000321576,-0.017389451,22.84634493,4128.545708,0.011051263,0.018916286,5.112706224,7.410716856,147.9356165,44.0952169,42.85118177,0.88164808,7.849103005,7.300150607,33.08676525,0.0143
12365,5,S,4,1,4,6521,53.67708333,-153.7968333,4616,9/24/18 15:40,9/24/18 15:40,140,142.6,0.936739102,base of halocline,50.5,17.8,62.9, ,,,,,,3291.047657,0.173804946,5.883580899,81167.05191,0.147860014,1.746898206,0.283995685,35.60511144,0.084159254,0.121370155,0.014790976,0.158934981,0.075590863,0.017004675,0.013001114,0.03406948,0.049735216,0.178704194,0.007443758,0.025898529,0.016790956,0.012079162,0.002836265,0.00751976,0.00889747,0.001541539,0.007979192,0.010063294,0.003259129,0.681543057,0.014642684,0.624143038,682.3735533,2589.383505,0.108335656,67.27115218,6.744104609,190.0029775,23.9310228,331.8910344,0.344509598,25.14410712,34.29198178,239.5478439,0.278980261,0.129159032,0.031786517,0.004266973,10.82684506,2.353559301,6.02021018,2.123692895,0,0,0,0,91.89326316,0.026702252,0.38529864,8304.996805,0.051434514,0.036345306,0.004860245,2.482954095,0.016326118,0.032748122,0.001835365,0.018692953,0.019972269,0.002331361,0.002265358,0.009484809,0.012916585,0.021938774,0.000379523,0.002637824,0.001943931,0.001267454,0.000751444,0.001086953,0.001514333,0.000444654,0.000928957,0.001105458,0.000559852,0.049921189,0.002578417,0.01725,176.0239623,144.7124204,0.046715546,11.48171477,0.573677436,20.80814398,2.068048516,42.71063875,42.25830356,0.17881559,17.31289696,0.915858763,42.93177022,682.3735533,176.0239623,6.293794681,0.71710382,1.083550654,0.235544215,0.404558124,0.142712163,0.219073555,0.056511855,0.047526221,0.006968388,0.00214299,0.000199284,6.403113097,0.770277816,NaN,0.627878127,0.417811583,0.055809039,0.01868831,0.001368661,0.130999022,0.046544286,0.025302294,NaN,0.001057367,3.10E-05,-45.41041001,99.42407101,-21.0247619,8.915243218,67.22906528,7.328102739,0.877718793,0.083858444,46.1117589,77.77631416,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12366,5,S,3,1,4,6521,53.67708333,-153.7968333,4616,9/24/18 15:40,9/24/18 15:40,300,303.3,0.936739102,O2 min ~10 umol/kg,1043.5,477.4,1519.2,,,3/16 eNd/proteins dropped on floor. Use upsampled 2/16 only,,,,122.8353354,0.007424551,0.219841371,3147.808969,0.012460847,0.478064655,0.010588866,4.901484508,0.003500507,0.004601957,0.000768286,0.022349126,0.006414136,0.001745834,0.000688857,0.00202037,0.003247687,0.009132849,0.000712828,0.001111603,0.000876353,0.000762012,0.000460056,0.000994333,0.001463924,0.000149858,0.000579129,0.000543518,0.000240341,0.030968082,0.000764994,0.023299833,33.41216824,606.3043427,0.012335158,2.53525992,1.021582477,7.100901555,0.92027924,13.43894932,0.016305594,1.238240917,1.446253769,12.11133387,0.013501201,0.006250629,0.00118517,0.000159095,0.523963273,0.113900091,13.2403707,6.920798294,0,0,0,0,4.447158399,0.001292251,0.01864646,401.9188679,0.002489164,0.001758925,0.000235211,0.120162129,0.0007901,0.00158484,8.88E-05,0.000904642,0.000966554,0.000112826,0.000109632,0.000459016,0.000625096,0.001061723,1.84E-05,0.000127657,9.41E-05,6.13E-05,3.64E-05,5.26E-05,7.33E-05,2.15E-05,4.50E-05,5.35E-05,2.71E-05,0.002415927,0.000124782,0.000834811,8.518648872,7.003332275,0.002260791,0.555655578,0.027763019,1.007006489,0.100082846,2.066973893,2.04508321,0.008653749,0.837854621,0.044322825,2.077675512,33.41216824,8.518648872,0.304587093,0.026737428,0.052438244,0.011399121,0.889752911,0.465077645,0.010726855,0.002734881,0.017264498,0.003240608,0.00029261,5.36E-05,0.942123412,0.466004324,0.036542011,0.013857045,0.074639311,0.001083123,NaN,2.88E-05,0.025470468,0.013299667,0.068641678,0.000429832,0.000449912,9.56E-06,12.80291618,0.719807392,2.534014154,0.095912352,1.463493646,0.106019175,0.288529476,0.001657428,4.221309465,1.163456404,15,5,303,53.68,-153.8,4616,477.4,312.3569198,0.544815463,-0.153605685,2.179117791,0.136148022,3.467000518,0.0136,38.497655,0.159765979,0.081733794,0.028690731,0.12647928,0.122242582,0.027156333,0.02704155,0.008115634,0.008809547,0.0338209,0.005293288,0.035106219,0.034740475,0.033790416,0.008665404,0.026763613,0.02629193,0.004200919,0.029812307,0.028740924,0.004968832,0.222307269,0.000907312,0.041081277,107.7517504,1936.573695,0.059974308,0.912013392,13.19525117,-0.112860472,27.57472043,72.77145531,67.33749614,0.261587952,7.383283091,7.780676416,15.34864054,0.0136
12367,5,S,2,1,4,6521,53.67708333,-153.7968333,4616,9/24/18 15:40,9/24/18 15:40,450,452.5,0.936739102,0,615.5,243.3,869.1,,,,,,,240.8557545,0.01342059,0.430687999,6045.580821,0.013165881,0.15771937,0.020777578,3.753270686,0.006459107,0.009043802,0.001327866,0.033220951,0.009876388,0.002729286,0.001182395,0.002776404,0.004063573,0.016001439,0.001076812,0.002060048,0.001493326,0.001224449,0.000660856,0.001398343,0.001939227,0.000208864,0.00085343,0.000863488,0.000346715,0.051784456,0.001584573,0.045666266,72.45238155,337.0069888,0.024808591,4.955998546,1.306952863,13.96061431,1.76174221,28.85789971,0.026689009,1.910631397,2.552662992,17.54954487,0.022889526,0.010597126,0.002325524,0.000312175,0.888311414,0.193102753,5.014363113,4.612445941,0,0,0,0,7.539577237,0.002190843,0.031612642,681.4010376,0.004220054,0.002982028,0.000398769,0.203719223,0.001339511,0.002686889,0.000150586,0.001533703,0.001638667,0.000191281,0.000185866,0.000778201,0.001059769,0.001800013,3.11E-05,0.000216426,0.000159494,0.000103991,6.17E-05,8.92E-05,0.000124247,3.65E-05,7.62E-05,9.07E-05,4.59E-05,0.00409589,0.000211552,0.001415313,14.44225849,11.87323677,0.003832876,0.942041585,0.047068579,1.707248206,0.169677417,3.504284739,3.467171942,0.014671304,1.420473268,0.07514357,3.522427939,72.45238155,14.44225849,0.516387703,0.052463822,0.088902206,0.019325724,0.336965201,0.309956367,0.023260574,0.004636635,0.041791799,0.003168583,0.000698829,5.35E-05,0.624814778,0.315008614,0.088888329,0.028755307,0.071049894,0.006405683,NaN,0.000121384,0.019200638,0.014450195,0.100455026,0.001348404,0.001113183,1.82E-05,16.95823272,10.91821585,6.663758853,1.368549871,8.540914319,1.8625217,0.189366616,0.021099827,11.36776364,14.57612213,15,5,453,53.68,-153.8,4616,243.3,20.67321831,0.002735142,-0.169252551,-68.53177581,0.003702773,0.220441019,0.0264,0.874596931,0.009873123,0.001413031,0.00096072,0.00581812,0.004281568,0.001139442,0.002581528,0.000143349,0.000184404,0.000763698,0.000156612,0.000784891,0.00067589,0.000653883,0.001520772,0.000533728,0.001155509,5.91E-05,0.000543055,0.000349207,5.27E-05,0.006262589,-7.34E-05,-0.01432522,24.17448583,346.7675822,0.000113278,-0.166296993,1.913181596,-0.229945452,0.025552236,2.086723404,1.835503409,0.002518308,0.536717792,3.698296038,-7.535102545,0.0264
12368,5,S,1,1,4,6521,53.67708333,-153.7968333,4616,9/24/18 15:40,9/24/18 15:40,800,802.9,0.936739102,0,623.1,223.7,869.8,,,,,,,261.8777689,0.014251233,0.468175485,6502.086667,0.015435099,0.121665055,0.022597794,4.3963225,0.006902059,0.00998385,0.001377133,0.028801479,0.009530538,0.002444397,0.001179818,0.003033452,0.004532698,0.016417917,0.000958325,0.002157455,0.001497637,0.001175187,0.000521738,0.001125475,0.001514161,0.000184323,0.000768727,0.00087677,0.000312762,0.056734652,0.001968814,0.049663761,88.68574934,266.1783697,0.026309198,5.443175438,0.905661034,15.12695184,1.936147654,33.33674413,0.03123069,2.085881571,2.794982842,18.63099255,0.02261034,0.010467872,0.00252928,0.000339527,0.87747661,0.190747464,3.864752004,2.973857306,0,0,0,0,7.447616417,0.002164121,0.03122706,673.0899353,0.004168581,0.002945656,0.000393905,0.201234444,0.001323173,0.002654117,0.00014875,0.001514996,0.00161868,0.000188948,0.000183599,0.000768709,0.001046842,0.001778058,3.08E-05,0.000213786,0.000157549,0.000102723,6.09E-05,8.81E-05,0.000122731,3.60E-05,7.53E-05,8.96E-05,4.54E-05,0.004045932,0.000208971,0.00139805,14.26610512,11.72841796,0.003786126,0.930551429,0.04649448,1.686424765,0.167607848,3.461542701,3.424882571,0.014492356,1.403147644,0.074227038,3.479464607,88.68574934,14.26610512,0.510089282,0.057060563,0.087817859,0.019090006,0.259711335,0.199843211,0.028472238,0.004580081,0.055743742,0.021521557,0.000925529,0.000352344,0.58247053,0.209861678,0.079059671,0.023780021,0.0433499,0.006190517,NaN,0.000140334,0.026335202,0.012751577,0.080196728,0.004308614,NaN,0.000126647,37.18991062,19.61465871,10.262625,2.199975712,9.92564706,2.559884115,0.203038871,0.026254662,18.31158927,20.72258895,15,5,803,53.68,-153.8,4616,223.7,-120.4799609,0.535437751,-0.76826235,-141.0720951,0.220982055,0.685132537,0.0292,70.01895008,0.156990728,0.267486958,0.037713165,0.168472155,0.163202102,0.037953166,0.039188671,0.012013249,0.014100257,0.043664139,0.006362266,0.043832808,0.041092503,0.039299082,0.010056401,0.027368703,0.027542545,0.004033914,0.02745921,0.027920281,0.004706779,0.320213412,0.00355683,-0.022552558,289.3712686,826.2142585,0.072835559,0.990764878,2.763680863,-15.7461937,51.6592936,240.0956399,226.0547436,0.599885814,6.548189306,10.9838927,7.706817325,0.0292
12407,5,D,8,1,8,6527,53.68003333,-153.8003667,4611,9/24/18 8:54,9/24/18 8:54,1000,984,0.237634114,0,1187.8,465.8,1683,,,,QMA in oven for about 2 hours w/ lids on (10:00-12:00); lids taken off at 12:00,,,125.8265028,0.00767284,0.225396136,3171.126332,0.012069802,0.080291369,0.010852577,4.840261155,0.003722242,0.005670879,0.000982445,0.031623188,0.008869523,0.002360271,0.000861959,0.002114312,0.003391032,0.011071081,0.000983552,0.001277007,0.001053495,0.000951007,0.000587338,0.001167183,0.001713958,0.000167435,0.00059657,0.000567329,0.000244873,0.041296379,0.00153224,0.023854609,74.95284926,244.267579,0.026158966,2.793703158,0.652576754,7.333860258,1.038791793,20.88487175,0.022541331,1.278811896,2.337660621,12.52155579,0.011861006,0.005491271,0.001214684,0.000163057,0.460309543,0.100062927,4.733873352,2.014513181,0,0,0,0,3.906894923,0.001135262,0.016381193,353.0917146,0.002186768,0.001545242,0.000206636,0.105564221,0.000694114,0.001392305,7.80E-05,0.000794742,0.000849133,9.91E-05,9.63E-05,0.000403252,0.000549156,0.00093274,1.61E-05,0.000112149,8.26E-05,5.39E-05,3.19E-05,4.62E-05,6.44E-05,1.89E-05,3.95E-05,4.70E-05,2.38E-05,0.002122428,0.000109623,0.000733394,7.483759975,6.152531764,0.001986138,0.488151705,0.024390226,0.884670206,0.087924272,1.815867366,1.796636075,0.007602448,0.73606777,0.038938262,1.825268897,74.95284926,7.483759975,0.2675843,0.02740328,0.046067779,0.010014298,0.318116289,0.135375286,0.02406334,0.002402634,0.055749004,0.005830552,0.000915788,9.56E-05,0.42262206,0.138627094,0.043160299,0.014622569,0.049361577,0.004795644,NaN,0.000140052,0.024179236,0.011264758,0.077515809,0.001914546,NaN,5.26E-05,19.7262631,28.45730783,4.673234134,3.421901829,4.806133497,0.642975244,0.115346407,0.024307487,11.74894477,22.68963615,15,5,984,53.68,-153.8,4611,465.8,121.7603286,0.576560584,-0.27281254,-83.99612041,0.211072146,0.60710176,0.0139,37.32759487,0.160594256,0.327394281,0.036678049,0.163601633,0.156859947,0.038645284,0.037442584,0.010462288,0.010556049,0.043706479,0.006750631,0.044791432,0.042324051,0.040575235,0.010272013,0.028852746,0.029484258,0.004279448,0.028900162,0.028529491,0.004766811,0.495132084,0.003624008,-0.001354254,252.6587284,845.0547758,0.074779035,0.775022512,3.638785177,1.166350356,58.53329962,234.1131301,225.5114545,0.569864125,7.081428319,47.45721894,22.03385139,0.0139
